Date (yyyy-mm-dd),Timestamp (hh:mm:ss.nnn),G1 (W/m2),G2 (W/m2)
2015-03-24,05:44:00.000,0,0
2015-03-24,05:45:00.000,0,0
2015-03-24,05:46:00.000,0,0
2015-03-24,05:47:00.000,0,0
2015-03-24,05:48:00.000,0,0
2015-03-24,05:49:00.000,0,0
2015-03-24,05:50:00.000,0,0
2015-03-24,05:51:00.000,0,0
2015-03-24,05:52:00.000,0,0
2015-03-24,05:53:00.000,0,0
2015-03-24,05:54:00.000,0,0
2015-03-24,05:55:00.000,0,0
2015-03-24,05:56:00.000,0,0
2015-03-24,05:57:00.000,0,0
2015-03-24,05:58:00.000,0,0
2015-03-24,05:59:00.000,1,0
2015-03-24,06:00:00.000,1,1
2015-03-24,06:01:00.000,2,1
2015-03-24,06:02:00.000,2,1
2015-03-24,06:03:00.000,2,2
2015-03-24,06:04:00.000,2,2
2015-03-24,06:05:00.000,3,3
2015-03-24,06:06:00.000,3,3
2015-03-24,06:07:00.000,4,3
2015-03-24,06:08:00.000,4,4
2015-03-24,06:09:00.000,5,4
2015-03-24,06:10:00.000,5,5
2015-03-24,06:11:00.000,6,5
2015-03-24,06:12:00.000,7,6
2015-03-24,06:13:00.000,7,6
2015-03-24,06:14:00.000,8,7
2015-03-24,06:15:00.000,8,8
2015-03-24,06:16:00.000,8,8
2015-03-24,06:17:00.000,9,8
2015-03-24,06:18:00.000,10,9
2015-03-24,06:19:00.000,10,10
2015-03-24,06:20:00.000,11,10
2015-03-24,06:21:00.000,11,11
2015-03-24,06:22:00.000,11,11
2015-03-24,06:23:00.000,12,12
2015-03-24,06:24:00.000,12,12
2015-03-24,06:25:00.000,13,13
2015-03-24,06:26:00.000,14,14
2015-03-24,06:27:00.000,14,14
2015-03-24,06:28:00.000,15,15
2015-03-24,06:29:00.000,15,15
2015-03-24,06:30:00.000,18,16
2015-03-24,06:31:00.000,21,17
2015-03-24,06:32:00.000,23,17
2015-03-24,06:33:00.000,22,18
2015-03-24,06:34:00.000,22,18
2015-03-24,06:34:42.020,27,19
2015-03-24,06:35:00.000,29,19
2015-03-24,06:35:39.940,34,20
2015-03-24,06:36:00.000,34,20
2015-03-24,06:37:00.000,30,20
2015-03-24,06:37:32.610,25,20
2015-03-24,06:38:00.000,23,20
2015-03-24,06:39:00.000,22,21
2015-03-24,06:39:45.940,27,21
2015-03-24,06:40:00.000,28,22
2015-03-24,06:40:37.800,33,22
2015-03-24,06:41:00.000,35,22
2015-03-24,06:42:00.000,31,23
2015-03-24,06:42:59.960,26,23
2015-03-24,06:43:00.000,27,23
2015-03-24,06:44:00.000,23,23
2015-03-24,06:45:00.000,24,24
2015-03-24,06:45:16.750,29,24
2015-03-24,06:45:33.120,34,24
2015-03-24,06:45:48.770,39,25
2015-03-24,06:46:00.000,42,25
2015-03-24,06:46:13.470,47,25
2015-03-24,06:47:00.000,49,25
2015-03-24,06:47:15.550,44,25
2015-03-24,06:47:32.130,39,25
2015-03-24,06:47:52.480,34,25
2015-03-24,06:48:00.000,33,25
2015-03-24,06:49:00.000,30,26
2015-03-24,06:50:00.000,27,26
2015-03-24,06:51:00.000,26,26
2015-03-24,06:52:00.000,25,27
2015-03-24,06:53:00.000,26,27
2015-03-24,06:54:00.000,28,28
2015-03-24,06:55:00.000,28,28
2015-03-24,06:56:00.000,27,28
2015-03-24,06:57:00.000,29,29
2015-03-24,06:58:00.000,32,30
2015-03-24,06:59:00.000,30,30
2015-03-24,07:00:00.000,29,30
