Date (yyyy-mm-dd),Timestamp (hh:mm:ss.nnn),G1 (W/m2),G2 (W/m2)
2015-02-08,06:55:00.000,0,0
2015-02-08,06:56:00.000,0,0
2015-02-08,06:57:00.000,0,0
2015-02-08,06:58:00.000,0,0
2015-02-08,06:59:00.000,0,0
2015-02-08,07:00:00.000,0,0
2015-02-08,07:01:00.000,0,0
2015-02-08,07:02:00.000,0,0
2015-02-08,07:03:00.000,0,0
2015-02-08,07:04:00.000,0,0
2015-02-08,07:05:00.000,0,0
2015-02-08,07:06:00.000,0,0
2015-02-08,07:07:00.000,0,0
2015-02-08,07:08:00.000,0,0
2015-02-08,07:09:00.000,0,0
2015-02-08,07:10:00.000,0,0
2015-02-08,07:11:00.000,0,0
2015-02-08,07:12:00.000,0,0
2015-02-08,07:13:00.000,0,0
2015-02-08,07:14:00.000,0,0
2015-02-08,07:15:00.000,0,0
2015-02-08,07:16:00.000,0,0
2015-02-08,07:17:00.000,0,0
2015-02-08,07:18:00.000,0,0
2015-02-08,07:19:00.000,0,0
2015-02-08,07:20:00.000,0,0
2015-02-08,07:21:00.000,0,0
2015-02-08,07:22:00.000,0,0
2015-02-08,07:23:00.000,0,0
2015-02-08,07:24:00.000,0,0
2015-02-08,07:25:00.000,0,0
2015-02-08,07:26:00.000,0,0
2015-02-08,07:27:00.000,1,0
2015-02-08,07:28:00.000,1,0
2015-02-08,07:29:00.000,1,1
2015-02-08,07:30:00.000,2,1
2015-02-08,07:31:00.000,3,2
2015-02-08,07:32:00.000,3,2
2015-02-08,07:33:00.000,3,3
2015-02-08,07:34:00.000,4,3
2015-02-08,07:35:00.000,4,4
2015-02-08,07:36:00.000,4,4
2015-02-08,07:37:00.000,5,5
2015-02-08,07:38:00.000,5,5
2015-02-08,07:39:00.000,5,5
2015-02-08,07:40:00.000,6,6
2015-02-08,07:41:00.000,6,6
2015-02-08,07:42:00.000,7,7
2015-02-08,07:43:00.000,7,7
2015-02-08,07:44:00.000,7,7
2015-02-08,07:45:00.000,7,7
2015-02-08,07:46:00.000,8,7
2015-02-08,07:47:00.000,8,8
2015-02-08,07:48:00.000,8,8
2015-02-08,07:49:00.000,8,8
2015-02-08,07:50:00.000,9,8
2015-02-08,07:51:00.000,9,9
2015-02-08,07:52:00.000,9,9
2015-02-08,07:53:00.000,9,8
2015-02-08,07:54:00.000,9,8
2015-02-08,07:55:00.000,8,8
2015-02-08,07:56:00.000,8,8
2015-02-08,07:57:00.000,9,8
2015-02-08,07:58:00.000,8,8
2015-02-08,07:59:00.000,8,8
2015-02-08,08:00:00.000,8,7
2015-02-08,08:01:00.000,7,7
2015-02-08,08:02:00.000,7,7
2015-02-08,08:03:00.000,7,7
2015-02-08,08:04:00.000,8,7
2015-02-08,08:05:00.000,8,8
2015-02-08,08:06:00.000,8,8
2015-02-08,08:07:00.000,9,9
2015-02-08,08:08:00.000,9,9
2015-02-08,08:09:00.000,9,9
2015-02-08,08:10:00.000,10,10
2015-02-08,08:11:00.000,11,10
2015-02-08,08:12:00.000,11,11
2015-02-08,08:13:00.000,11,11
2015-02-08,08:14:00.000,11,10
2015-02-08,08:15:00.000,11,10
2015-02-08,08:16:00.000,10,9
2015-02-08,08:17:00.000,10,9
2015-02-08,08:18:00.000,10,9
2015-02-08,08:19:00.000,10,9
2015-02-08,08:20:00.000,10,9
2015-02-08,08:21:00.000,11,10
2015-02-08,08:22:00.000,11,10
2015-02-08,08:23:00.000,12,11
2015-02-08,08:24:00.000,12,11
2015-02-08,08:25:00.000,13,12
2015-02-08,08:26:00.000,13,12
2015-02-08,08:27:00.000,13,13
2015-02-08,08:28:00.000,14,13
2015-02-08,08:29:00.000,14,13
