Date (yyyy-mm-dd),Timestamp (hh:mm:ss.nnn),G1 (W/m2),G2 (W/m2)
2015-02-26,06:13:00.000,0,0
2015-02-26,06:14:00.000,0,0
2015-02-26,06:15:00.000,0,0
2015-02-26,06:16:00.000,0,0
2015-02-26,06:17:00.000,0,0
2015-02-26,06:18:00.000,0,0
2015-02-26,06:19:00.000,0,0
2015-02-26,06:20:00.000,0,0
2015-02-26,06:21:00.000,0,0
2015-02-26,06:22:00.000,0,0
2015-02-26,06:23:00.000,0,0
2015-02-26,06:24:00.000,0,0
2015-02-26,06:25:00.000,0,0
2015-02-26,06:26:00.000,0,0
2015-02-26,06:27:00.000,0,0
2015-02-26,06:28:00.000,0,0
2015-02-26,06:29:00.000,0,0
2015-02-26,06:30:00.000,0,0
2015-02-26,06:31:00.000,0,0
2015-02-26,06:32:00.000,0,1
2015-02-26,06:33:00.000,0,1
2015-02-26,06:34:00.000,1,1
2015-02-26,06:35:00.000,1,1
2015-02-26,06:36:00.000,2,2
2015-02-26,06:37:00.000,2,2
2015-02-26,06:38:00.000,3,3
2015-02-26,06:39:00.000,3,3
2015-02-26,06:40:00.000,4,5
2015-02-26,06:41:00.000,5,5
2015-02-26,06:42:00.000,6,7
2015-02-26,06:43:00.000,7,8
2015-02-26,06:44:00.000,7,9
2015-02-26,06:45:00.000,9,11
2015-02-26,06:46:00.000,10,12
2015-02-26,06:47:00.000,11,14
2015-02-26,06:48:00.000,11,15
2015-02-26,06:49:00.000,12,17
2015-02-26,06:50:00.000,13,18
2015-02-26,06:51:00.000,14,19
2015-02-26,06:52:00.000,15,22
2015-02-26,06:53:00.000,17,23
2015-02-26,06:54:00.000,18,25
2015-02-26,06:55:00.000,19,26
2015-02-26,06:56:00.000,21,29
2015-02-26,06:57:00.000,21,30
2015-02-26,06:58:00.000,22,31
2015-02-26,06:59:00.000,23,32
2015-02-26,07:00:00.000,23,33
2015-02-26,07:01:00.000,23,33
2015-02-26,07:02:00.000,24,34
2015-02-26,07:03:00.000,24,34
2015-02-26,07:04:00.000,24,34
2015-02-26,07:05:00.000,24,35
2015-02-26,07:06:00.000,24,35
2015-02-26,07:07:00.000,25,36
2015-02-26,07:08:00.000,26,37
2015-02-26,07:09:00.000,26,38
2015-02-26,07:10:00.000,27,40
2015-02-26,07:11:00.000,28,42
2015-02-26,07:11:57.770,30,47
2015-02-26,07:12:00.000,30,47
2015-02-26,07:12:21.070,32,52
2015-02-26,07:12:37.680,34,57
2015-02-26,07:12:56.730,35,62
2015-02-26,07:13:00.000,35,62
2015-02-26,07:13:15.310,37,67
2015-02-26,07:13:24.320,39,72
2015-02-26,07:13:30.870,40,77
2015-02-26,07:13:39.720,42,82
2015-02-26,07:13:52.690,44,87
2015-02-26,07:14:00.000,45,89
2015-02-26,07:14:09.710,46,94
2015-02-26,07:14:21.360,48,99
2015-02-26,07:14:31.810,50,104
2015-02-26,07:14:41.320,52,109
2015-02-26,07:14:53.310,54,114
2015-02-26,07:15:00.000,55,117
2015-02-26,07:15:12.830,57,122
2015-02-26,07:15:30.740,58,127
2015-02-26,07:15:53.350,60,132
2015-02-26,07:16:00.000,60,133
2015-02-26,07:16:22.600,62,138
2015-02-26,07:16:51.430,64,143
2015-02-26,07:17:00.000,64,144
2015-02-26,07:17:28.540,66,149
2015-02-26,07:18:00.000,68,151
2015-02-26,07:19:00.000,68,151
2015-02-26,07:20:00.000,68,147
2015-02-26,07:20:25.100,66,142
2015-02-26,07:21:00.000,67,144
2015-02-26,07:22:00.000,69,146
2015-02-26,07:23:00.000,69,147
2015-02-26,07:24:00.000,72,150
2015-02-26,07:24:18.500,73,155
2015-02-26,07:25:00.000,76,159
2015-02-26,07:25:26.390,78,164
2015-02-26,07:26:00.000,79,164
2015-02-26,07:26:41.650,80,169
2015-02-26,07:27:00.000,82,171
2015-02-26,07:27:16.800,84,176
2015-02-26,07:27:39.330,86,181
2015-02-26,07:28:00.000,88,184
2015-02-26,07:28:13.050,90,189
2015-02-26,07:28:25.780,92,194
2015-02-26,07:28:41.680,94,199
2015-02-26,07:29:00.000,95,202
2015-02-26,07:29:25.810,97,207
2015-02-26,07:29:48.170,100,212
2015-02-26,07:30:00.000,101,215
2015-02-26,07:30:30.700,103,220
2015-02-26,07:30:49.330,105,225
2015-02-26,07:31:00.000,106,227
2015-02-26,07:31:14.800,108,232
